Description,ASIN,Product Description,Manufacturer
"Heavy Duty Zippers & Sliders: N/A  
  Real world performance Tested for Durability: N/A  
  Lightweight Water-resistant fabric: N/A",B08CBJDBH4,"?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable backpack for school /college, daily casual use and travel. . Size: 18.5 inch X 13.5 inch X 9 inch. Capacity : 37 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects<br><br> <br>  
 ?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 long zip pocket at front, 1 water bottle /umbrella pocket. Suitable for casual usage , school / college / office n travel.; ?LOTS OF STORAGE SPACE - Front compartment has space for keeping Tiffin box. Front pocket gives easy access to wallet / key chains/ stationery.<br><br> <br>  
 ?LOTS OF STORAGE SPACE - Second and third compartment are very spacious for keeping long Books, files, binders and spacious enough to hold your Travel / Trip cloths. The base is made with 100% super strong 900D polyester fabric to protect your bag during daily use<br><br> <br>  
 ?COMFY&STURDY - Comfortable airflow back design with thick but soft multi-panel ventilated padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Padded handle and Reinforced haul loop for quick grab<br>; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch<br>; Special Features: Water Bottle Umbrella Pouch; Age Range Description: Kid <br>  
 Pattern Name: Solid <br>",Lunar's
,B0BWNBQXDZ,"Care Instructions: Wipe with Damp Cloth  
 Handcrafted with care and made up of premium quality robust material  
 Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side  
 Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket  
 GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",Acefour Accessories Pvt. Ltd.
"FEATURES: DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, menं and womenं ; COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers; DURABLE AND LIGHT WEIGHT MATERIAL: Made with strong yet light weight polyester fabric with heavy zippers; INTERNAL ORGANISER: This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items; LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised.",B09QM9N1B3,"Care Instructions: Hand Wash Only  
 SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort  
 COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.  
 SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm  
 ENDURING & LONG LASTING: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. INTERNAL ORGANISER: This backpack has an Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.  
 OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women is Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",Half_Moon
N/A,B07NJGW3WX,"Highly water-resistant finish to save inner items from water splashes  
 Adjustable shoulder strap  
 Top grab handle  
 Optimum quality of accessories and zipper for smoother functioning and high durability  
 Durable zippers and enhanced by strong stitching at major stress points provide long-lasting durability against daily activities","Freewill Sports Private Limited, Freewill Sports Private Limited - 391 Leather Complex Kapurthala Road Jalandhar,144021 (Punjab) Contact No. - 0181-5057000,5099000"
"Safe Packaging: N/A  
  Water Resistant: N/A  
  Premium Fabric: N/A  
  Travel: N/A  
  Office: N/A  
  School: N/A",B09CMS3K2S,"Care Instructions: Hand Wash Only  
 SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort  
 COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.  
 SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 46 cm X 31 cm X 22 cm  
 ENDURING & LONG LASTING: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. INTERNAL ORGANISER: This backpack has an Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.  
 OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women is Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",Half_Moon
Made from an ultra strong polyester fabric With Zipper Closure and handle provides exceptional strength and longer life Long Lasting durable fabric that does not wear down quickly even with daily use and is resistant to wrinkling,B0BKL76TV3,"Care Instructions: Hand Wash Only  
 Strap Type Adjustable Description Replacement Warranty Compartment Description  
 very attractive and perfect for school travel and outdoor activities The perfect backpack for those needing stylish all day protection for their laptop  
 Simple Modern Legacy Backpack is ideal for school work traveling and everyday use for men women and kids  
 its super light weight, ultra comfortable  
 Creative designs 15.6 INCH LAPTOP The High Power Backpack fits up to 15.6 inch laptop Dimensions 34cm x 15cm x 45.5cm Weight 499g.",
"The fashion conscious and on-trend American Tourister patron prefers to step-out in style no matter the occasion. Be it a trip to the gym, an overnighter or a vacation – we have a design to suit every need. Like all products from the brand, our duffel bags meet the highest quality standards for which American Tourister is known. This attention to detail is reflected in the positive feedback from our customers in 100+ countries. Made from premium dobby double dot fabric, this durable duffle offers reliability that stands up to the wear and tear of travel. The duffel bag’s lightweight design makes it a perfect companion for all your gym needs or even as a carry-on during a weekend getaway! Designed for unisex use, this bag is a good substitute for a suitcase – minus the weight and bulkiness. The main compartment offers a wide u-shaped opening for absolute hassle-free packing. There is also a spacious front quick access pocket to store a hand towel, an extra t-shirt or anything else you might need on the go. The detachable shoulder strap may also be adjusted to suit the height and stature of the person holding it. Additionally, the bag is equipped with twin grab handles to alternate carrying with the shoulder strap. Number of Compartments: 1",B07N19CXKM,"Outer Material: Polyester, Color: Blue  
 Wear resistant, Water resistant, Cabin Size  
 Capacity: 83 liters; Dimensions: 65 cms x 30 cms x 33 cms (LxWxH)  
 Number of Wheels: 2, Number of compartments: 1  
 Laptop Compatibility: NoStrap Type: Adjustable  
 Warranty type: Manufacturer; 3 year International warranty valid for 3 years from the original date of purchase  
 An additional front pocket for quick access of essentials  
 Bottom lugs & bottom side kick guard help to protect the base of the bag  
 Detachable/adjustable shoulder strap with rest pad and twin grab handles on the bag offer ease of carrying  
 Country of Origin: China.  
 Main compartment offers a wide U-shaped opening for absolute hassle-free packing",Samsonite
N/A,B08D7QKCX5,"Highly Water-resistant finish to save inner items from water splashes  
 Epp foam gear in the bottom panel for total comfort and safety  
 Main compartment with double zip closure  
 Water-resistant front valuables pocket to keep your stuff safe  
 Dimension: 40x22x10 cm  
 Capacity - 9 litres  
 Tough, 600D abrasion-resistant fabric for high durability Optimum quality of accessories and zipper for smoother functioning and high durability Designed for all types of occasions: sports, daily use, cycling, travel, adventure, etc Comes in attractive color combination and premium quality of material.","FREEWILL SPORTS P LTD - PB, 391-392 Leather Complex Kapurthala Road jalandhar,144021 Punjab"
"Introducing the ultimate laptop backpack designed for maximum safety and comfort. Made with durable, water-resistant materials, this backpack keeps your laptop protected from the elements and accidental spills. The padded laptop compartment fits most laptops up to 17 inches, and is specially designed with shock-absorbing foam to keep your device secure and safe from bumps and drops. The backpack also features padded shoulder straps and a padded back panel for added comfort during long commutes or trips. The adjustable shoulder strap helps to distribute the weight evenly across your body, reducing strain on your shoulders and back. In addition to the laptop compartment, the backpack has plenty of room for all of your other essentials, including books, documents, and personal items. The organizer pockets and key clip keep your items organized and easily accessible. Whether you're commuting to work or hitting the trails, this laptop backpack is the perfect choice for keeping your device safe and secure, while also providing maximum comfort on the go. So, it is an ideal choice for people who are looking for a laptop backpack that is both safe and comfortable.",B0BR149RMT,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort  
 COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women  
 PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm  
 BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.  
 OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",Amazing Bags
"This CSZ backpacks is made of polyester. This backpack has one main compartment. This drawstring backpack is efficient to hold your essentials. The Drawstring bag is excellent quality and durability. These backpacks are available in brilliant and long lasting colors. This backpack is perfect for sports man, athletes and students also. Its compact size and style definitely adds in your dazzling personality. Dimension: (W x H): 13 x 19 inch. (33 X 48 cm) This bag is easy to wash. Shop with Confidence. Material: Polyester. Easily Washable and Durable.",B0B4G9XT67,"Care Instructions: Hand Wash Only  
 Drawstring/String bag (backpack), a very fine multiple use drawstring bag with excellent finish and durability  
 It is made of polyester fabric and efficient to hold your essentials,Material : polyester Washable (Machine / Hand Wash) and durable  
 Its compact size and style definitely adds in your dazzling personality. Casual usage also  
 Good bag with an attractive design and trendy color, front digital print and back side plain Polyester fabric,Multi-purpose, Fitness Football, Riding, Running ,Gym Bag and all sports persons  
 Width: 13 inches Height: 19 inches Depth: 4 inches, (33 X 48 X 10 ) cm. Bag Capacity: 18 L",
"‘Miles’ by F Gear is a fanny pack which is spacious, trendy, exclusive & easy to carry. This is unmatched in terms of looks and personality. To describe it briefly here are the following points: 1. This having two small front zippered pockets suitable for many small accessories like keys, pen drive, Bluetooth etc. 2. One back pocket suitable passport/mobile etc. 3. This fanny pack has a huge main compartment suitable for wallet, small notepad, pen, sunglasses & other belongings. 4. This fanny pack comes with a Premium YKK Japanese Zippers& sliders with an adjustable waist strap. 5. This fanny pack is made of Polyester fabric and is treated to make it water-resistant. 6. Comes with The F Gear promise of quality and durability.",B08NYGBDB8,"Care Instructions: Dry Clean Only  
 This having two small front zippered pockets suitable for keys/napkins etc.  
 This backpack is made of polyester fabric and is treated to make it water-resistant.  
 One back pocket for passport/mobile.  
 This fanny pack has a huge main compartment suitable for a wallet, small notepad, pen, sunglasses& other belongings.  
 This fanny pack comes with a Premium YKK Japanese Zippers& sliders with an adjustable waist strap. Comes with The F Gear promise of quality and durability.",Uber Fashion Merchandise Pvt Ltd
"Meek Backpacks feature modern designs that can be as bold or as understated as you want to make them The cases are constructed from durable, high-quality materials designed to provide the utmost protection for a broad range of notebook form factors.This classic unisex backpack is is compatible 17 inch laptop along with Laptop Charger, Official Notebooks, Pen, Hard Drive, Powerbank, Lunch Box, Water Bottle etc.It is very convenient to carry and lightweight with padded shoulderr strap which gives you all day long relax and proper coushning to your shoulder while you carry it.",B0C7WKWTZJ,"Care Instructions: Wipe with Dry Cloth  
 This backpack combines a lightweight and stylish design to encourage innovators and achievers to be their best selves wherever they go  
 The shoulder straps are adjustable and padded so you can hustle without restraints as you wade through a busy workday.  
 Protect your laptop from bumps and scrapes with a 15.6” diagonal padded compartment. Slip and Zippered pockets designed to conveniently keep your belongings organized and give you easy access to sunglasses, phone, wallet, and water bottle on-the-go.  
 Protect your laptop and belongings with the lockable zippers when in a crowded area. Designed with reflective accents for visibility in limited daylight.  
 This sleek and lightweight bag may hold more than you think to get you and all your stuff where you're going--all while keeping you comfortable.",Bansal Traders Delhi
N/A,B09VCHV6T5,"» Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.  
 » PREMIUM MATERIAL: Made from high quality, waterproof Polyester material in grey color. Premium quality smooth zippers, pullers, buckles.",
"This Satellite funky Casual Backpack & School Bag Is Made from Durable & Lite Weight Material. Adjustable Straps Make It Easy and Comfortable to Carry for All Day Use. This Funky Backpack Has 2 Roomy Main Compartments. One Large Front Zipper Pockets to Hold Accessories, Internal Mesh Pockets Organizer for Valuable Items and 1 Side Pockets for Water Bottle or Umbrella. This Backpack Is Perfect for Daily Use, Office, School, College, Travel Etc.",B083DZVFZM,"Material: Water Resistant Light-Weight Polyester.<br>; Compartments: 2 with padding; Laptop Size: 15.6 inch and below.<br>; Dimensions: LxWxH - 31 x 20 x 47 cms<br><br>  
 Age Range Description: Adult; Special Features: Back Padding; Pocket Description: Utility Pocket<br><br>  
 Age Range Description: Adult; Pocket Description: Utility Pocket<br>  
 Compartment Description: Up To 15 Inches<br>",RAM LAL RAM CHANDRA (INDIA) LIMITED
,B07BZ5VC4H,"Care Instructions: Hand Wash Only  
 Laptop Compatibility: Yes, Laptop Size: 17 inches  
 Outer Material: Polyester, Color: Black  
 Weight: 1.20 grams; Dimensions: 53 cms x 32 cms x 27 cms (LxWxH)  
 Number of compartments: 1; Warranty type: Manufacturer; 18 months  
 Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Age Range Description: Adult",No
,B07QL8633G,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.  
 Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls  
 Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.  
 Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.  
 Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.",AirCase
"This large capacity makeup organiser bag allows you to organise your cosmetics and other accesories. Keep your makeup essentials organised and clutter-free. It doesn't take up too much space in your backpack or carry-on luggage but can store a lot of items. the bag will keep your toiletry accessories safe, it's easy to access them, quicker and more convenient. It comes with smooth and reliable zippers, no need to worry any ripping or break during trips. This big compartment makeup organiser can hold different types of products and even stationery items. It can store your makeup brushes, lipsticks, nail polish, perfume bottles, skin care products, jewellery, eyeliner and more. This multi-purpose cosmetic stand perfectly fits anywhere be it your bathroom counter, dressing table, vanity, bedroom, countertop etc",B0C7VJ1LFG,"🧡Superior Material🧡 Our cosmetic bag is made of high quality waterproof Nylon cloth with durable handle, exquisite flamingo printing pattern, two-way metal zipper, every detail is exquisitely made to give you a very good using experience.  
 🧡Large Capacity🧡 The size is 22x16x16CM. The makeup bag have enough space to storage your makeups and cosmetic accessories, like lipstick, makeup brushes, eye shadow, makeup palettes etc.  
 🧡Unique Design🧡 The portable travel makeup bag, main big compartment, a mesh zipper pocket, smooth zipper, open and close faster.  
 🧡Easy to Use🧡 The travel wash bag is very light; there is an elastic handle for easy holding; and it can be foldable which you can easily take it to everywhere.  
 🧡Wide Application🧡 Ideal for travel, business trip, vacation, gym, camping, home use and outdoor activity; The vanity bag not only can storage your cosmetics, but also jewelry, electronic accessories, essential oil, toiletries, shaving kit, digital cameras, and is a good helper for makeup lovers and travelers.",Viulvuk
"Heavy Duty Zippers & Sliders: N/A  
  Real world performance Tested for Durability: N/A  
  Lightweight Water-resistant fabric: N/A",B08CBJDBH4,"?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable backpack for school /college, daily casual use and travel. . Size: 18.5 inch X 13.5 inch X 9 inch. Capacity : 37 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects<br><br> <br>  
 ?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 long zip pocket at front, 1 water bottle /umbrella pocket. Suitable for casual usage , school / college / office n travel.; ?LOTS OF STORAGE SPACE - Front compartment has space for keeping Tiffin box. Front pocket gives easy access to wallet / key chains/ stationery.<br><br> <br>  
 ?LOTS OF STORAGE SPACE - Second and third compartment are very spacious for keeping long Books, files, binders and spacious enough to hold your Travel / Trip cloths. The base is made with 100% super strong 900D polyester fabric to protect your bag during daily use<br><br> <br>  
 ?COMFY&STURDY - Comfortable airflow back design with thick but soft multi-panel ventilated padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Padded handle and Reinforced haul loop for quick grab<br>; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch<br>; Special Features: Water Bottle Umbrella Pouch; Age Range Description: Kid <br>  
 Pattern Name: Solid <br>",Lunar's
"Product DescriptionThis is a durable product. It ensures you get the best usage for a longer periodbrand_descriptionPerformance on all levels - This is PUMA. As one of the world’s leading sports brands, PUMA believes in standing on the same playing field as the fastest athletes on the planet. With a mission of Forever Faster, PUMA shares excitement in Teamsports, innovates Golf, brings style into Running and Training and performance into Motorsports. PUMA has associations with some of the most elite athletes, such as sprint legend Usain Bolt, star striker Antoine Griezmann, Indian Cricket Captain Virat Kohli, fashion icons like Cara Delevingne, Selena Gomez, and many more.",B07D5QZ76G,"Outer Material: Polyester, Color: Limoges  
 Capacity: 22 liters; Dimensions: 30 cms x 44 cms x 14 cms (LxWxH)  
 Number of compartments: 2; Laptop Compatibility: Yes, Laptop Size: 15 inches  
 Warranty type: Manufacturer; 3 months  
 Special Features: Laptop Compartment; Age Range Description: Adult; Closure Type: Zipper; Pocket Description: Utility Pocket  
 100% 600D Polyester with PU backing",SSIPL RETAIL LIMITED
"A sporty versatile Backpack from Northzone. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.",B0BW9BTJCZ,"Care Instructions: Hand Wash Only  
 Colour- Black; Material- Polyester  
 Pattern Name: Solid; Pocket Description: Utility Pocket; Closure Type: Zipper  
 Strap Type: Adjustable; Compartment Description: Up To 16 Inches; Water Resistance Level: Water Resistant  
 Strap Type: Shoulder Strap; Age Range Description: Adult",
"Safe Packaging: N/A  
  Water Resistant: N/A  
  Premium Fabric: N/A  
  Travel: N/A  
  Office: N/A  
  School: N/A",B09CMS3K2S,"Care Instructions: Hand Wash Only  
 SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort  
 COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.  
 SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 46 cm X 31 cm X 22 cm  
 ENDURING & LONG LASTING: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. INTERNAL ORGANISER: This backpack has an Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.  
 OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women is Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",Half_Moon
"The fashion conscious and on-trend American Tourister patron prefers to step-out in style no matter the occasion. Be it a trip to the gym, an overnighter or a vacation – we have a design to suit every need. Like all products from the brand, our duffel bags meet the highest quality standards for which American Tourister is known. This attention to detail is reflected in the positive feedback from our customers in 100+ countries. Made from premium dobby double dot fabric, this durable duffle offers reliability that stands up to the wear and tear of travel. The duffel bag’s lightweight design makes it a perfect companion for all your gym needs or even as a carry-on during a weekend getaway! Designed for unisex use, this bag is a good substitute for a suitcase – minus the weight and bulkiness. The main compartment offers a wide u-shaped opening for absolute hassle-free packing. There is also a spacious front quick access pocket to store a hand towel, an extra t-shirt or anything else you might need on the go. The detachable shoulder strap may also be adjusted to suit the height and stature of the person holding it. Additionally, the bag is equipped with twin grab handles to alternate carrying with the shoulder strap. Number of Compartments: 1",B07N19CXKM,"Outer Material: Polyester, Color: Blue  
 Wear resistant, Water resistant, Cabin Size  
 Capacity: 83 liters; Dimensions: 65 cms x 30 cms x 33 cms (LxWxH)  
 Number of Wheels: 2, Number of compartments: 1  
 Laptop Compatibility: NoStrap Type: Adjustable  
 Warranty type: Manufacturer; 3 year International warranty valid for 3 years from the original date of purchase  
 An additional front pocket for quick access of essentials  
 Bottom lugs & bottom side kick guard help to protect the base of the bag  
 Detachable/adjustable shoulder strap with rest pad and twin grab handles on the bag offer ease of carrying  
 Country of Origin: China.  
 Main compartment offers a wide U-shaped opening for absolute hassle-free packing",Samsonite
The product will be an excellent pick for you. It ensures an easy maintenance.,B084THQXCD,"Outer Material: Polyester, Color: Circadian Guc Black  
 Wear resistant, Water resistant  
 Capacity: 27 liters; Weight: 440 grams; Dimensions: 31 cms x 22 cms x 43 cms (LxWxH)  
 Number of compartments: 2  
 Laptop Compatibility: NoStrap Type: Adjustable  
 Warranty type: Manufacturer; 1 year manufacturer warranty from the original date of purchase",Uber Fashion Merchandise Pvt. Ltd.
"High Quality large and spacious laptop backpack with 1 main laptop compartment and 1 front easy-access pocket. It is ideal for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. It also has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on one side and has USB charging slot on the other side. It has padded shoulder straps for your comfort.",B0BXQZ6Q85,"Material: High Quality Polyester  
 1 large compartment and 1 easy-access pocket  
 Laptop Size: 15.6 inch and below  
 Dimensions: LxWxH - 12 x 4.5 x 17 inches  
 USB / Reflector Logo / Adjustable Padded Shoulder Straps / Bottle holder / Padded Top Handle",ADISA
"Introducing the ultimate laptop backpack designed for maximum safety and comfort. Made with durable, water-resistant materials, this backpack keeps your laptop protected from the elements and accidental spills. The padded laptop compartment fits most laptops up to 17 inches, and is specially designed with shock-absorbing foam to keep your device secure and safe from bumps and drops. The backpack also features padded shoulder straps and a padded back panel for added comfort during long commutes or trips. The adjustable shoulder strap helps to distribute the weight evenly across your body, reducing strain on your shoulders and back. In addition to the laptop compartment, the backpack has plenty of room for all of your other essentials, including books, documents, and personal items. The organizer pockets and key clip keep your items organized and easily accessible. Whether you're commuting to work or hitting the trails, this laptop backpack is the perfect choice for keeping your device safe and secure, while also providing maximum comfort on the go. So, it is an ideal choice for people who are looking for a laptop backpack that is both safe and comfortable.",B0BR149RMT,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort  
 COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women  
 PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm  
 BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.  
 OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",Amazing Bags
